Country,Price of mobile data and voice basket (HC)  (PPP),Price of mobile data and voice basket (LC) (PPP),Price of cheapest smartphone (PPP$),Price of fixed broadband internet (PPP),Median Mobile Download Speeds (Mbps),Median Fixed Broadband Download Speed (Mbps),Number of Internet Users (absolute numbers),Mobile Cellular Subscriptions in millions (absolute numbers),Population covered by LTE (Absolute numbers),Number of smartphone users (million),"Gender gap - Number of women that need to use the internet (or stop using the internet, if negative) to achieve parity in internet penetration rate",Number of internet users (16-64 years) using social media for work related activities,Number of users of digital food delivery platforms (millions),Number of users of digital health applications,Number of e-commerce users,Consumer Spend on Mobile Apps (millions USD),Number of video on demand users,Fixed-broadband Internet traffic (EB),Mobile broadband internet traffic (EB),Value of digital payment transactions (millions of dollars),Users of Digital Payments (in millions),"Number of people who received public sector wages (% of public sector wage recipients, age 15 +) per 1000 adults",Number of mobile money and internet banking transactions per 1000 adults,Number of mobile money and internet banking transactions,ICT Services Export  (million USD),"Total digitally delivered services (million USD)",IT market Capitalisation in USD,Employment: ICT sector (thousands),Employment: ICT services (thousands),Number of Start-ups,Valuation of Unicorns (Millions of USD),Total funding till date of Startups having their Head Quarters or atleast one office location in India (Millions of USD),Consumer and Industrial IoT revenues (millions of USD),AR/ VR revenues (millions of USD),Metaverse revenue (millions of USD),DeFi revenue (millions of USD),Robotics revenue (millions of USD),Drones revenue (millions of USD),Crypto Index Score,Cybersecurity revenue (Mn USD),Number of Secure servers,Ransomware attacks 30 day average,Ransomware victims,Total number of email leaks (Quarterly average) (2022 Q3 - 2025 Q3),E-waste generated (million kg),Number of energy and digital startups,VC investments in AI and environmental sustainability by country (USD million),Patents filed (2000-2024) in Smart Grids,Patents filed (2000-2024) in Information/Communication Technologies for Electromobility  https://irena.sharepoint.com/:x:/s/statistics-public/IQA9pfQVFizORLB-JmQZ6qZeAaVN67p9zCW8IGFluuD0Eew?rtime=LA9v10ze3kg,"Net electricity production from Renewables (Hydro, Geo, Solar, Wind, Other) (GWh)",Total renewable energy production (GWh),AAL by Climate (Million USD) for the Telecom Sector- Existing Climate,,,,,Count,,,Number of AI users,Compute capacity,Open Data Score,AI Infrastructure,AI Infrastructure,Compute Capacity (Rmax) in Millions,Apps and Platforms,Development: Open Source models score,Relative AI Skill Penetration,AI Talent Pillar Score,Total AI Private Investment in Millions,Newly Funded AI Companies,AI commercial,AI Innovation - Research,AI Research and Development- score,Safety and security,Responsible AI - Conference Submissions on RAI Topics (Total),Public trust score
Finland,31.00,19.00,92.00,49.00,147.00,164.00,"5,269,950.00","7,070,000.00","5,616.75","4,694,233.00","-23,977.00",-,3.20,2.90,4.50,"29,860.70",3.30,6.80,4.70,"49,170.00",4.29,"1,026.00","128,837.50","723,720,305.96","13,544.00","29,286.58","47,834.00",130.70,10.28,"15,800.00","14,900.00","36,300.00","1,058.65",125.80,317.50,34.10,164.93,9.42,1.70,351.00,"5,617,147.60",75.00,16.00,"37,254.00",118.00,3.13,197.00,68.00,29.00,"522,257.00","42,302.00",14.50,,India,63.43,,37,,,1561612,19.3,89,62,33,391,74,6.70,0.53,17.00,50.75,12.00,13.00,9.00,0.92,33.33,5.00,36.90
France,13.00,13.00,75.00,46.00,150.00,349.00,"61,580,215.00",-,"65,883.05","49,803,534.00","-611,211.00","9,614,853.00",31.50,21.30,42.40,"284,481.18",52.40,-,15.30,"407,790.00",40.63,"4,786.00","34,960.18","2,326,548,587.54","27,482.00","213,281.00","117,371.00","1,034.69",76.45,"90,000.00","72,900.00","305,000.00","9,715.99","1,654.00","2,787.80",250.50,"1,978.92",171.34,10.60,"6,110.00","261,287,565.40",160.00,179.00,"10,078,912.00","1,445.00",23.89,543.00,598.00,323.00,"1,814,912.00","139,735.00",867.50,,Indonesia,32.1,,36,,,29281353,51.1,63,76,31,298,70,40.00,0.98,25.00,"2,620.00",59.00,19.00,18.00,5.69,100.00,25.00,2.70
Germany,14.00,14.00,305.00,45.00,77.00,102.00,"79,722,678.00","109,000,000.00","84,526.88","65,309,173.00","727,909.00","12,010,797.00",48.00,29.90,57.00,"468,418.20",69.50,149.00,9.60,"349,760.00",54.47,"9,894.00",-,-,"47,845.00","308,097.60","445,455.00","1,751.96",142.48,"642,000.00","86,000.00","298,000.00","16,417.59","2,254.50","3,977.90",495.60,"4,610.00",137.07,11.00,"8,040.00","1,074,154,219.00",640.00,328.00,"4,645,505.00","1,767.00",28.72,3.00,"2,728.00","3,116.00","3,365,787.00","270,110.00","2,070.20",,"Iran, Islamic Rep.",15.66,,33,,,24181941,57.0,79,73,32,400,74,10.60,0.98,35.00,"1,970.00",67.00,17.00,16.00,7.74,83.33,80.00,24.30
Ghana,10.00,4.00,-,21.00,50.00,54.00,"21,850,129.00","39,100,000.00","34,186.42","19,285,443.00",-,"8,568,555.00",4.00,2.40,9.40,"5,797.75",11.80,0.40,2.50,"12,040.00",9.83,-,"1,252.00","43,103,117.32",108.00,"5,486.70",-,105.51,-,"5,740.00",-,"5,330.00",220.39,-,-,-,12.28,2.73,4.50,59.00,"57,976.00",15.00,1.00,"27,468.00",72.00,1.00,2.00,42.33,19.16,-,"8,472.00",4.30,,Iraq,33.51,,36,,,3201749,6.6,54,46,11,-,48,0.00,-,1.00,-,-,1.00,0.00,-,50.00,-,36.90
Greece,25.00,22.00,148.00,49.00,136.00,92.00,"8,916,392.00","11,400,000.00","10,037.77","7,851,474.00","279,026.00","3,149,243.00",3.20,6.20,4.70,"25,706.70",5.00,12.80,2.00,"22,700.00",4.45,632.00,"27,041.31","271,706,215.44","1,727.00","7,937.16","3,337.00",451.41,4.95,"12,900.00","3,300.00","20,100.00",769.98,96.10,190.70,109.20,55.98,1.60,2.60,156.00,"1,637,020.41",85.00,20.00,"87,278.00",194.00,1.37,2.00,9.00,1.00,"273,530.00","24,386.00",143.20,,Ireland,138.96,,34,,,1919133,9.4,51,52,20,-,54,0.30,-,10.00,-,-,7.00,5.00,-,66.67,-,36.90
Guatemala,33.00,33.00,68.00,63.00,59.00,91.00,"12,087,945.00","20,700,000.00","18,259.11","6,874,319.00",-,-,2.60,1.70,4.20,-,12.30,2.90,1.80,"11,180.00",3.63,-,"19,477.47","358,509,324.71",576.00,"1,541.39",-,37.33,-,"1,420.00",-,"2,840.00",383.61,-,-,8.56,27.50,4.95,0.30,72.00,"36,978.00",4.00,7.00,"42,018.00",92.00,1.38,-,0.00,0.00,-,"9,134.00",73.00,,Israel,211.64,,34,,,2724141,6.2,55,38,-,-,14,-,-,-,-,-,-,-,-,26.33,-,-
Hungary,43.00,23.00,180.00,32.00,87.00,240.00,"8,931,761.00","10,100,000.00","9,598.73","7,735,295.00","-8,283.00","2,163,666.00",3.80,2.70,4.70,"22,306.00",5.80,10.30,1.70,"21,040.00",3.60,-,"106,430.36","1,029,834,531.46","4,186.00","15,714.13",-,179.62,14.77,"8,950.00",-,"8,470.00",680.13,100.20,160.60,61.40,109.85,5.22,2.70,235.00,"5,095,974.94",24.00,6.00,"122,828.00",138.00,0.00,-,80.00,48.00,"85,275.00","9,373.00",175.30,,Italy,83.9,,38,,,2883488,9.0,78,56,23,-,51,0.00,-,7.00,-,-,5.00,2.00,-,50.00,-,27.00
India,9.00,9.00,281.00,24.00,132.00,62.00,"803,000,000.00","1,150,000,000.00","1,437,297.00","632,000,000.00","65,619,526.00","253,000,000.00",437.80,142.00,392.70,"78,197.84",520.90,101.30,216.80,"1,741,630.00",338.07,-,"118,650.74","172,154,630,092.64","122,509.00","327,665.90","187,435.00","6,756.31",835.36,"651,000.00","164,000.00","630,000.00","13,108.40",917.50,"3,064.40","1,701.10",593.09,28.74,100.00,"3,060.00","2,552,449,970.00",320.00,137.00,"7,237,156.00","4,137.00",42.08,0.00,87.00,32.00,"3,649,513.00","369,970.00",798.70,,Japan,196.27,,38,,,228000000,48.5,54,63,15,29,61,0.70,1.98,42.00,"1,160.00",74.00,14.00,10.00,25.67,83.33,42.00,83.80
Indonesia,18.00,16.00,-,32.00,53.00,44.00,"203,000,000.00","347,000,000.00","281,078.28","171,000,000.00",-,"62,616,172.00",118.40,32.90,93.90,"83,778.00",155.60,21.10,42.10,"361,650.00",94.02,-,"102,941.23","29,182,593,116.12","3,760.00","11,865.78","10,459.00","1,139.31",118.70,"33,000.00","10,400.00","71,100.00","5,020.00",463.70,"1,232.80",736.40,196.68,7.56,68.00,"2,420.00","236,233,327.40",340.00,41.00,"792,412.00","1,886.00",12.34,10.00,1.00,1.00,-,"64,721.00",174.70,,Kazakhstan,62.4,,32,,,36002967,21.2,74,60,14,-,65,0.00,-,8.00,-,-,4.00,7.00,-,66.67,-,89.20
Iraq,27.00,27.00,184.00,62.00,62.00,44.00,"36,290,406.00","46,100,000.00","45,332.97","27,142,889.00","3,620,704.00",-,5.40,5.90,14.30,-,27.00,28.90,3.20,"23,980.00",11.21,-,-,-,-,"1,167.16",-,"try projecting -  23.957 in 2021, what growth rate to use",-,"1,480.00",-,98.20,782.14,-,-,90.80,26.79,5.32,2.20,157.00,"73,161.00",42.00,6.00,"16,027.00",267.00,0.00,-,46.01,20.27,-,"3,030.00",34.00,,Malaysia,120.8,,36,,,5156706,2.1,45,33,15,-,54,0.00,-,1.00,-,-,1.00,1.00,-,50.00,-,44.10
