Pillar,Sub -Pillar,#,Indicator,,Old Weights,New Weights,Algeria,Argentina,Australia,Austria,Bangladesh,Belgium,Brazil,Bulgaria,Canada,Chile,China,Colombia,Costa Rica,Croatia,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,Ethiopia,Finland,France,Germany,Ghana,Greece,Guatemala,Hungary,India,Indonesia,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kenya,Kuwait,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Norway,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Romania,Russian Federation,Rwanda,Saudi Arabia,Serbia,Singapore,Slovakia,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Thailand,Türkiye,Ukraine,UAE,UK,USA,Uzbekistan,Viet Nam,,CoV
CHI Score (C+H+1 = 1),,,,,,,7.1,9.1,14.3,12.5,10.6,11.0,20.6,10.3,17.9,13.8,61.7,11.9,8.6,11.9,9.9,14.1,6.0,6.0,9.5,9.5,12.9,22.2,21.4,10.4,10.3,6.6,11.4,40.0,16.4,7.4,14.4,15.7,13.0,20.0,6.6,9.0,9.9,13.3,13.9,11.7,15.6,12.5,11.5,10.1,11.8,12.3,11.7,15.3,13.8,12.3,16.8,14.2,15.0,8.7,11.4,11.5,19.7,9.8,10.8,16.3,8.4,13.7,14.8,13.3,12.0,10.0,19.5,25.3,69.1,8.6,15.8,,
CHI Score (C+ H + I = 0.75),,,,,,,5.3,6.8,10.7,9.4,7.9,8.2,15.4,7.7,13.4,10.4,46.3,8.9,6.4,9.0,7.5,10.6,4.5,4.5,7.2,7.1,9.7,16.6,16.1,7.8,7.7,4.9,8.6,30.0,12.3,5.5,10.8,11.8,9.7,15.0,5.0,6.7,7.4,10.0,10.4,8.8,11.7,9.4,8.7,7.6,8.9,9.3,8.8,11.4,10.3,9.2,12.6,10.6,11.3,6.5,8.6,8.6,14.7,7.4,8.1,12.2,6.3,10.3,11.1,9.9,9.0,7.5,14.6,19.0,51.8,6.5,11.8,,
CHIP score (P weighted 0.125),,,,,,,10.8,13.7,16.5,15.1,14.0,13.2,21.0,13.7,18.4,16.2,52.9,14.8,12.7,14.1,13.7,16.7,10.8,10.7,12.8,13.2,14.5,21.9,21.6,13.4,13.8,11.2,14.0,36.4,19.4,11.3,15.5,17.2,15.4,21.0,11.2,13.7,13.7,15.7,16.2,13.9,17.0,14.9,15.7,13.1,15.8,15.9,15.4,17.4,15.8,14.4,18.8,17.2,15.6,12.6,13.9,13.8,21.1,12.5,13.8,18.1,11.7,15.0,15.6,16.4,15.4,13.5,19.2,25.1,60.2,12.7,17.8,,
CHIPS score,,,,,,,15.75,17.81,20.83,19.33,20.13,18.19,25.46,18.75,23.43,20.32,58.75,18.97,18.91,18.27,17.82,20.88,15.71,15.73,16.86,18.16,18.75,26.26,25.85,17.58,17.93,16.18,18.94,40.41,23.41,16.25,19.77,21.42,19.38,23.56,15.35,18.70,18.66,19.80,20.14,18.87,21.37,19.90,19.77,17.32,19.95,20.84,20.24,21.66,20.02,18.54,22.72,21.37,20.37,17.58,18.04,18.78,25.31,16.69,18.06,22.51,16.67,19.72,19.77,21.27,19.68,18.48,24.07,31.58,67.27,17.67,22.83,,
RANK CHIP score,,,,,,,69,52,21,36,43,57,9,50,13,24,2,39,62,42,53,20,70,71,60,58,40,5,6,56,48,67,44,3,10,66,32,17,34,8,68,51,54,29,23,46,19,38,28,59,26,25,35,16,27,41,12,18,31,63,45,49,7,64,47,14,65,37,30,22,33,55,11,4,1,61,15,,
RANK CHIPS score,,,,,,,68,58,23,39,28,52,7,46,11,25,2,40,42,51,57,21,70,69,63,53,45,5,6,60,56,67,41,3,12,66,34,17,38,10,71,47,48,32,27,43,18,31,33,62,30,22,26,16,29,49,14,19,24,61,55,44,8,64,54,15,65,36,35,20,37,50,9,4,1,59,13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PILLAR SCORE (uniform weighting),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,,,,,,0.25,27.5,24.1,30.7,32.6,38.8,30.2,47.8,29.4,34.6,39.0,77.1,34.2,34.6,37.7,28.4,39.3,23.7,22.3,30.0,32.7,34.0,50.4,33.3,33.9,31.3,27.2,31.1,63.9,35.3,26.6,34.8,41.6,26.4,35.7,25.4,32.3,38.2,29.3,38.6,39.1,32.3,39.8,31.3,25.1,35.8,38.7,32.8,40.3,41.3,35.9,32.1,43.4,38.9,33.9,25.6,36.6,40.7,28.9,35.2,38.2,32.5,32.9,31.6,35.0,34.0,28.2,47.1,42.2,35.8,35.1,43.4,,
H,,,,,,0.25,1.3,2.3,2.9,1.2,2.1,1.9,10.7,0.4,4.6,1.5,86.9,2.1,0.3,0.2,0.8,1.0,0.3,0.4,2.3,1.4,0.9,7.6,10.4,0.7,1.1,0.3,0.7,42.9,9.2,1.1,5.3,1.7,4.4,14.9,0.6,0.9,0.3,3.3,5.5,1.0,4.2,0.3,2.8,0.8,3.7,1.3,3.7,3.0,0.9,0.1,6.3,1.2,7.9,0.0,3.0,0.9,3.2,0.4,1.8,4.4,0.4,2.2,2.2,3.3,4.0,1.1,1.3,12.9,51.2,0.9,4.9,,
I,,,,,,0.25,0.8,3.5,5.9,1.8,1.2,2.8,8.1,0.6,7.5,1.2,49.9,1.8,0.3,0.5,1.3,1.3,0.3,0.4,1.6,1.6,0.9,8.8,17.3,0.8,1.0,0.2,0.9,25.4,11.2,0.9,1.1,1.2,5.8,10.5,0.8,1.1,0.2,1.5,5.5,1.3,3.9,0.9,9.4,1.2,5.4,1.3,4.1,2.9,1.0,0.2,5.4,1.1,7.9,0.0,1.9,0.5,1.9,0.5,2.0,5.0,0.4,2.3,2.7,2.9,5.4,5.0,1.5,19.4,94.1,1.0,7.5,,
P,,,,,,0.125,58.8,59.3,59.3,59.6,59.7,59.6,51.0,59.6,57.5,59.8,57.9,58.6,59.9,59.9,59.8,59.9,59.9,59.9,39.8,60.0,59.8,54.5,56.3,60.0,59.6,60.0,59.9,57.1,59.1,59.9,59.9,59.7,56.0,59.8,59.5,59.9,59.9,59.3,58.9,59.7,60.1,59.9,59.9,60.0,59.3,59.2,59.1,59.8,59.6,60.0,58.7,59.8,43.8,60.0,53.8,59.8,59.1,59.9,59.8,57.5,59.7,59.9,58.3,59.3,57.9,59.8,59.0,60.0,50.0,59.7,58.6,,
S,,,,,,0.125,39.4,33.0,34.5,33.6,49.1,39.7,35.8,40.0,40.3,33.2,46.9,33.1,49.9,33.4,33.2,33.7,39.6,40.0,32.6,40.0,34.3,34.9,33.7,33.4,33.2,40.0,39.7,32.1,31.9,39.6,33.8,33.5,31.9,20.3,33.4,40.0,39.9,33.2,31.6,39.9,34.8,40.1,33.0,34.1,32.9,39.8,38.8,34.0,33.6,33.4,31.4,33.2,38.5,40.0,33.0,40.0,33.7,33.3,34.0,35.3,39.7,38.0,33.5,39.0,34.3,39.5,39.1,52.1,56.9,39.9,39.9,,
P+S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIP Score,,,,,,,14.7,14.9,17.3,16.3,18.0,16.2,23.0,15.1,18.9,17.9,60.7,16.9,16.3,17.1,15.1,17.9,13.6,13.3,13.4,16.4,16.4,23.5,22.3,16.4,15.8,14.4,15.7,40.2,21.3,14.6,17.8,18.6,16.2,22.8,14.1,16.1,17.2,15.9,19.7,17.8,17.6,17.7,18.4,14.3,18.6,17.7,17.5,19.0,18.2,16.5,18.3,18.9,19.1,16.0,14.4,17.0,18.8,14.9,17.2,19.1,15.8,16.8,16.4,17.7,18.1,16.0,19.9,26.2,51.5,16.7,21.3,,
CHIPS Score,,,,,,,19.7,19.0,21.6,20.5,24.1,21.1,27.5,20.1,23.9,22.0,66.6,21.0,22.5,21.3,19.3,22.1,18.5,18.2,17.5,21.4,20.7,27.9,26.5,20.5,19.9,19.4,20.6,44.2,25.3,19.6,22.0,22.8,20.2,25.3,18.3,21.1,22.2,20.1,23.7,22.8,22.0,22.7,22.5,18.5,22.7,22.7,22.4,23.3,22.4,20.7,22.2,23.1,24.0,21.0,18.5,22.0,23.0,19.1,21.5,23.5,20.8,21.6,20.6,22.6,22.4,21.0,24.7,32.7,58.6,21.7,26.3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,,,,,,,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,10,9,10,10,10,10,9,10,10,10,10,9,10,10,9,9,10,10,10,10,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,,
H,,,,,,,7,11,12,12,10,12,12,12,12,12,11,10,10,12,12,12,10,10,12,10,11,11,12,12,12,10,12,12,12,9,12,11,12,12,9,12,9,12,12,10,11,11,12,11,11,9,11,12,12,8,12,12,12,10,11,12,11,10,11,12,10,11,12,12,12,7,12,12,11,10,12,,
I,,,,,,,8,10,10,10,8,10,10,7,10,10,9,10,7,8,10,10,8,8,10,7,10,10,10,6,10,7,9,10,10,7,10,10,10,10,7,9,7,10,10,9,10,10,10,10,9,9,10,9,10,8,10,9,9,7,10,9,10,7,10,10,7,10,10,10,10,9,10,10,10,8,10,,
P,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,,
S,,,,,,,5,6,6,6,4,5,6,5,6,6,6,6,4,6,6,6,5,5,6,5,6,6,6,6,6,5,5,6,6,5,6,6,6,6,6,5,5,6,6,5,6,5,6,6,6,5,5,6,6,6,6,6,5,5,6,5,6,6,6,6,5,6,6,5,6,5,6,6,6,5,5,,
CHIPS,,,,,,,35,42,43,42,37,42,43,39,43,43,41,41,36,41,43,43,38,38,43,36,42,41,43,38,43,37,41,43,42,36,43,42,43,42,37,41,35,42,43,39,42,41,42,41,40,38,41,42,43,37,43,42,41,37,42,41,42,38,42,43,37,42,43,42,43,36,43,42,41,38,42,,
%,,,,,,,80%,95%,98%,95%,84%,95%,98%,89%,98%,98%,93%,93%,82%,93%,98%,98%,86%,86%,98%,82%,95%,93%,98%,86%,98%,84%,93%,98%,95%,82%,98%,95%,98%,95%,84%,93%,80%,95%,98%,89%,95%,93%,95%,93%,91%,86%,93%,95%,98%,84%,98%,95%,93%,84%,95%,93%,95%,86%,95%,98%,84%,95%,98%,95%,98%,82%,98%,95%,93%,86%,95%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIPS SCORE for Tree map (share of each sub-pillar in overall score),,,,,New weights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Affordability,,,,0.063,,3.9,3.1,3.8,5.2,5.3,3.9,5.3,3.6,4.0,4.5,4.7,4.3,4.7,5.1,3.9,4.7,3.1,2.8,3.9,5.9,4.4,5.2,4.3,5.9,4.3,3.8,3.8,5.0,4.8,3.7,4.6,5.3,3.3,3.6,3.4,4.8,3.6,4.1,5.1,5.5,3.8,5.2,4.9,2.5,5.8,4.9,4.2,5.1,5.2,3.6,3.3,5.5,5.0,5.1,2.8,5.0,4.3,3.9,5.0,4.6,4.9,4.1,3.6,3.8,4.6,3.9,4.2,5.0,2.4,5.0,4.9,,
,Quality,,,,0.063,,0.5,1.0,1.7,1.3,0.5,1.5,2.8,1.9,2.4,3.0,2.3,1.7,1.4,1.5,1.0,2.8,1.2,1.3,0.8,0.0,1.8,3.3,1.0,0.5,1.2,0.8,2.1,0.9,0.4,0.5,1.7,2.4,1.1,2.0,1.0,0.2,3.6,1.8,0.8,0.9,2.4,2.1,0.3,1.9,0.1,2.0,0.9,2.0,2.4,4.0,2.8,2.3,0.8,0.4,2.0,1.5,4.0,1.1,0.5,2.4,0.3,2.1,2.7,2.7,0.7,0.8,6.0,1.5,3.2,0.8,2.9,,
,Access,,,,0.063,,0.2,0.2,0.1,0.0,0.5,0.0,0.8,0.0,0.2,0.1,6.2,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.2,0.0,0.3,0.4,0.1,0.0,0.1,0.0,4.5,1.1,0.2,0.0,0.0,0.3,0.5,0.1,0.2,0.0,0.2,0.5,0.2,0.1,0.0,0.5,0.0,0.6,0.1,0.4,0.2,0.0,0.0,0.2,0.1,0.7,0.0,0.2,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.3,0.4,0.1,0.1,0.3,1.6,0.1,0.4,,
H,App and platform economy,,,,0.050,,0.1,0.1,0.1,0.0,0.1,0.0,0.6,0.0,0.2,0.1,4.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.4,0.0,0.0,0.0,0.0,2.1,0.6,0.1,0.0,0.0,0.2,0.6,0.0,0.1,0.0,0.1,0.3,0.1,0.1,0.0,0.2,0.0,0.3,0.1,0.2,0.1,0.0,0.0,0.3,0.1,0.4,0.0,0.1,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.2,0.3,0.1,0.0,0.3,2.2,0.0,0.2,,
,Data Intensity,,,,0.050,,0.1,0.0,0.1,0.0,0.1,0.0,0.2,0.0,0.1,0.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,1.7,0.3,0.1,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.2,0.0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.2,0.2,#VALUE!,0.1,0.3,1.8,0.1,0.2,,
,Fintech,,,,0.050,,#VALUE!,0.1,0.1,0.0,0.1,0.0,0.5,0.0,0.1,0.0,5.0,#VALUE!,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,1.3,0.3,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.1,0.3,0.0,0.1,0.0,0.1,0.0,0.1,#VALUE!,0.1,0.1,0.0,#VALUE!,0.2,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.3,1.8,0.0,0.1,,
,Real Economy,,,,0.050,,0.0,0.1,0.3,0.2,0.1,0.4,0.8,0.1,0.6,0.1,1.5,0.2,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.1,1.0,1.6,0.1,0.2,0.0,0.1,3.5,0.5,0.0,1.5,0.3,0.5,1.9,0.0,0.1,0.0,0.5,0.3,0.0,0.9,0.0,0.1,0.1,0.2,0.0,0.3,0.4,0.1,0.0,0.6,0.1,0.6,0.0,0.1,0.2,0.8,0.1,0.0,0.6,0.0,0.4,0.5,0.1,0.2,0.1,0.2,2.3,4.8,0.0,0.6,,
,Investments and Startups,,,,0.083,,0.0,0.0,0.4,0.0,0.0,0.1,0.2,0.0,0.5,0.0,1.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,1.4,0.0,0.0,0.0,0.0,1.6,0.1,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.1,2.7,8.3,0.0,0.0,,
,Other Emerging Technology,,,,0.083,,0.1,0.4,0.5,0.2,0.1,0.3,0.9,0.1,0.7,0.1,5.7,0.2,0.0,0.0,0.1,0.1,0.0,0.1,0.2,0.2,0.1,0.9,1.5,0.1,0.1,0.0,0.1,2.4,1.3,0.1,0.1,0.1,0.6,1.2,0.1,0.1,0.0,0.2,0.6,0.1,0.4,0.1,1.1,0.1,0.6,0.1,0.5,0.3,0.1,0.0,0.6,0.1,0.8,0.0,0.2,0.0,0.1,0.1,0.2,0.5,0.0,0.2,0.3,0.3,0.6,0.5,0.1,1.2,7.6,0.1,0.9,,
P,Preparedness,,,,0.042,,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.2,0.0,0.0,,
,Risk of Attack,,,,0.042,,4.1,4.1,4.1,4.1,4.1,4.1,3.5,4.1,3.9,4.1,3.6,4.1,4.2,4.2,4.1,4.2,4.2,4.2,2.8,4.2,4.1,3.7,3.7,4.2,4.1,4.2,4.2,3.8,4.1,4.2,4.2,4.1,3.8,4.0,4.1,4.2,4.2,4.1,4.0,4.1,4.1,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.2,4.0,4.1,3.0,4.2,3.7,4.2,4.1,4.2,4.1,3.9,4.1,4.1,4.0,4.1,4.0,4.2,4.1,4.0,0.0,4.1,4.1,,
S,Commercialisation of Green Tech,,,,0.000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,Green R&D,,,,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,
Overall Score,,,,,#REF!,,#VALUE!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#VALUE!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#VALUE!,#REF!,#REF!,#REF!,#VALUE!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#VALUE!,#REF!,#REF!,#REF!,#REF!,#REF!,,
Rank,,,,,,,#VALUE!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#VALUE!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#VALUE!,#REF!,#REF!,#REF!,#VALUE!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#VALUE!,#REF!,#REF!,#REF!,#REF!,#REF!,,
