Pillar,Sub -Pillar,#,Indicator,,Old Weights,New Weights,Algeria,Argentina,Australia,Austria,Bangladesh,Belgium,Brazil,Bulgaria,Canada,Chile,China,Colombia,Costa Rica,Croatia,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,Ethiopia,Finland,France,Germany,Ghana,Greece,Guatemala,Hungary,India,Indonesia,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kenya,Kuwait,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Norway,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Romania,Russian Federation,Rwanda,Saudi Arabia,Serbia,Singapore,Slovakia,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Thailand,Türkiye,Ukraine,UAE,UK,USA,Uzbekistan,Viet Nam,,CoV
,,18,Total monthly mobile broadband internet traffic (TB),,0.50,0.50,1.6,0.6,1.5,1.4,4.1,0.3,4.1,0.4,0.9,1.8,100.0,1.4,0.1,0.3,0.4,0.6,0.3,0.2,1.3,0.2,1.3,4.3,2.7,0.6,0.5,0.4,0.4,62.6,12.1,0.8,0.4,0.6,4.0,8.3,1.6,0,1,4.4,2.6,1.5,0.6,0.1,2.5,0.2,3.9,2.0,3.3,2.7,0.3,0.1,3.8,0.8,13.5,0.0,9.8,0.3,0.2,0.1,1.1,2.4,0.6,1.3,0.6,7.7,4.1,-,1.5,3.1,36.8,3.0,3.7,,2.95
,Fintech (change name),19,Value of digital transactions in billion dollars,,0.25,0.50,-,1.3,1.8,0.4,0.5,0.7,5.3,0.1,2.9,0.5,100.0,-,0.1,0.1,0.3,0.6,0.1,0.1,0.3,0.2,0.5,4.0,3.5,0.1,0.2,0.1,0.2,17.3,3.6,0.2,0.5,0.4,2.7,7.4,0.2,0.1,0,1,1.6,0.2,1.2,0.2,1.1,0.6,0.5,-,1.3,1.7,0.2,-,2.9,0.3,1.5,0.0,1.1,0.1,0.6,0.1,0.3,2.2,0.1,1.0,0.7,1.9,1.3,0.2,0.8,7.2,44.5,0.1,1.2,,3.82
,,20,Users of Digital Payments (in millions),,0.13,0.50,-,2.4,2.0,0.4,1.7,0.7,12.8,0.1,2.8,1.1,100.0,-,0.0,0.0,0.5,0.3,0.2,0.2,2.7,0.9,0.3,3.9,5.3,0.8,0.3,0.2,0.2,33.7,9.3,1.0,0.2,0.4,2.4,8.0,0.5,0.5,0.0,1,10,1.0,1.2,0.2,2.5,0.3,1.5,-,2.1,1.2,0.3,-,3.7,0.6,5.4,0.0,1.8,0.1,0.3,0.1,1.4,3.0,0.2,0.7,0.6,2.3,2.9,1.3,0.4,4.8,28.0,0.9,2.0,,3.16
,Real Economy,21,Digitally delivered services (exports),,0.50,0.50,0.3,1.1,3.2,5.2,0.2,12.1,4.0,1.1,11.3,0.5,30.1,0.7,1.2,0.7,2.4,5.1,0.2,0.1,0.6,0.0,3.6,26.2,37.8,0.7,1.0,0.2,1.9,40.2,1.4,0.1,56.8,9.2,8.7,15.6,0.4,0.2,0.9,2.3,2.4,1.0,28.5,0.6,0,3,0.7,0.1,3.0,7.2,2.3,0.2,9.2,3.0,1.3,0.0,1.1,1.2,28.7,0.8,1.0,11.5,0.2,11.2,16.4,2.3,1.9,1.1,4.0,67.7,100.0,0,1,,2.03
,,22,ICT sector employment,,0.50,0.50,-,4.8,7.6,2.4,3.6,2.8,26.2,1.5,11.7,3.2,-,5.8,0.6,0.9,2.6,1.7,0.8,0.9,3.4,1.4,1.8,15.2,25.8,1.4,6.5,0.4,2.5,100.0,16.7,-,2.7,4.0,11.1,61.6,-,2.2,-,18.5,8.3,-,6.3,-,2.3,2,7,1.8,7.7,9.8,3.1,0.2,16.7,2.9,23.2,0.0,-,7.4,1.9,1.5,-,11.1,1.1,4.3,2.7,2.6,4.9,-,3.0,24.8,90.6,0.8,22,,1.83
,AI,,Open Data score,,,0.25,0.0,50.0,79.0,71.0,29.0,41.9,66.1,72.6,80.6,62.9,17.7,62.9,62.9,51.6,56.5,98.4,54.8,58.1,40.3,25.8,98.4,56.5,82.3,41.9,37.1,43.5,80.6,41.9,74.2,27.4,79.0,74.2,77.4,69.4,71.0,53.2,38.7,100.0,77.4,79.0,87.1,77.4,45.2,98.4,22.6,56.5,74.2,98.4,88.7,37.1,75.8,85.5,54.8,51.6,66.1,71.0,100.0,77.4,37.1,79.0,33.9,87.1,61.3,58.1,58.1,58.1,90.3,67.7,80.6,88.7,32.3,,0.35
,,,Development: Open Source models score (tortoise),,,0.25,0.0,0.5,0.4,0.0,0.2,0.3,1.1,0.0,6.9,0.1,26.2,0.0,-,0.0,0.0,0.0,-,-,0.0,0.0,6.7,40.0,10.6,0.0,0.3,-,0.0,0.7,0.0,0.0,0.0,8.4,1.1,1.9,-,0.0,-,0.0,0.0,0.8,2.1,0.0,0.0,1.1,0.0,0,0,0.8,0.0,0.0,6.2,0.0,0.5,0.0,0.0,0.0,18.7,0.0,0.0,12.1,0.0,0.5,8.6,0.1,0.5,0.0,11.4,9.5,100.0,-,0.2,,3.20
,,,AI Skilled population (vibrancy tool AI relative pentration multiplied by population),,,0.25,-,-,27.6,10.3,-,10.3,50.0,-,45.5,-,-,-,-,-,-,9.6,-,-,-,-,7.1,35.9,35.9,-,-,-,-,100.0,-,-,12.2,22.4,22.4,-,-,-,-,-,28.8,-,20.5,0.0,-,4.5,-,-,-,19,15.4,-,18.6,-,-,-,17.9,-,21.8,-,16.0,35.9,-,14.1,18.6,-,25.0,-,23.7,45.5,94.9,-,-,,0.84
,,,AI Talent Pillar (tortoise),,,0.25,1.0,6.1,16.2,14.1,1.0,15.2,11.1,5.1,25.3,4.0,25.3,4.0,-,5.1,9.1,16.2,-,-,4.0,0.0,16.2,24.2,34.3,0.0,9.1,-,6.1,41.4,7.1,0.0,12.1,26.3,15.2,14.1,-,0.0,-,3.0,6.1,2.0,22.2,9.1,0.0,13.1,3.0,3.0,0.0,10,9,3.0,19.2,4.0,3.0,1.0,3.0,6.1,29.3,6.1,1.0,16.2,3.0,16.2,29.3,2.0,7.1,4.0,5.1,31.3,100.0,-,5.1,,1.28
INNOVATE,Investments and Startups,23,No. of start -ups,,0.50,0.33,0.0,0.7,9.9,1.3,0.8,1.9,3.9,0.4,14.5,0.6,8.6,0.8,0.1,1.9,1.0,1.6,0.0,0.1,0.6,0.0,1.1,6.4,45.8,0.3,0.8,0.0,0.6,46.5,2.3,0.0,1.3,1.6,4.8,3.3,0.1,0.7,0.1,1.8,1.5,0.2,4.6,2.5,1.7,1.2,2,0.3,0.9,2.0,1.4,0.1,2.0,1.1,2.2,0.0,0.8,0.3,3.3,0.4,3.2,4.1,0.6,2.2,3.6,1.0,2.1,0.7,3.9,85.0,100.0,0.0,1.1,,2.98
