BLOC, Country                 , Price of mobile data and voice basket (HC)  (% of GNI PC), Price of mobile data and voice basket (HC)  (% of GNI PC), Price of cheapest smartphone (% of GNI per capita), Price of fixed broadband internet (% of GNI), Median Mobile Download Speeds (Mbps), Median Fixed Broadband Download Speed (Mbps), % of population using the internet, Mobile Cellular Subscriptions per 100 population, % of Population covered by LTE, % of population using smartphones users, % of internet users (16-64 years) using social media for work related activities, Percent of internet users using digital food delivery platforms, Percent of internet users using digital health applications, Percent of internet users using e-commerce users, Consumer Spend per internet user on Mobile Apps (millions USD)  PPP per internet user, Percent of internet users using video on demand users, Fixed-broadband Internet traffic per subscriber (GB), Mobile broadband internet traffic (GB per subscription), Value of digital payment transactions (PPP$ adjusted) per internet user, % of internet users who made or received a digital payment, Total digitally delivered services (million USD) as percent of GDP USD, ICT sector employment (% of Total Labour force), Number of Start-ups per limited liability company, Valuation of Unicorns as a percent of GDP, Total funding till date of Startups having their Head Quarters or atleast one office location in India per startup (Millions of USD), Consumer IoT revenues (USD PPP$ adjusted) per internet user, AR/ VR revenues (PPP$ adjusted) per smartphone user, Metaverse revenue (PPP$ adjusted) per smartphone user, DeFi revenue (millions of USD PPP$ adjusted) per internet user, Robotics revenue (millions of USD), Drones revenue (millions of USD), Crypto Index Score, "Cybersecurity revenue (PPP exchange rate adjusted ) in million $ , per internet users", Number of Secure servers per internet user, Ransomware attacks detected per month as a % of internet users, Ransomware victims per million internet users, Total number of email leaks (Quarterly average) (2022 Q3 - 2025 Q3), E-waste generated (kg per capita) - directly from source, E-waste generated (kg per internet user) - calculated as total divided by internet users, Share of energy startups that are digital, VC investments in AI and environmental sustainability by country (USD million) per capita, Patents filed (2000-2023) in Smart Grids as a % of enabling tech patents, Patents filed (2000-2023) in Information/Communication Technologies for Electromobility as a % of total patents filed, Share of total electricity generated that is renewable, Renewable energy share of electricity production (%), Relative AAL by Climate (% of Exposed value) for the Telecom Sector - Existing Climate, , , , , , , , , , , , , Number of AI users, Compute capacity, Open Data Score, AI Infrastructure, AI Infrastructure, Compute Capacity (Rmax) in Millions, Apps and Platforms, Development: Open Source models score, Relative AI Skill Penetration, AI Talent Pillar Score, Total AI Private Investment in Millions, Newly Funded AI Companies, AI commercial, AI Innovation - Research, AI Research and Development- score, Safety and security, Responsible AI - Conference Submissions on RAI Topics (Total), Public trust score
    , Kenya                   ,                                                      4.10,                                                      1.30, 0.33                                              ,                                        12.30,                                45.00,                                        16.00,                               0.48, 127.00                                          ,                          97.00,                                    0.71, 53.10                                                                           ,                                                           83.15,                                                       11.51,                                            25.99, 782.33                                                                               ,                                                 47.14, "1,651.43"                                          , 42.90                                                  , "1,838.23"                                                             , 23.83                                                     ,                                                                   1.49, 0.64                                           , -                                                , -                                        , 1.07                                                                                                                                ,                                                       36.00, 3.10                                               , 16.55                                                , 2.00                                                          ,                               3.00,                             0.17,               8.00,                                                                                    7.65,                                       0.05, 0.0001000                                                     ,                                          0.37,                                                                1.20,                                                     1.60,                                                                                     3.27, 1.00                                     , -                                                                                        ,                                                                     0.05, -                                                                                                                    , -                                                     ,                                                89.10,                                                                                   0.09, , , , , , , , , , , , ,               8.10,             9.13,           61.00,             39.17, 5.00             , -                                  ,              47.99, 0.00                                 , -                            , 1.00                  , -                                      , -                        , 3.00         , 0.00                    , -                                 ,              100.00, -                                                            , 36.90
    , Kuwait                  ,                                                      0.60,                                                      0.60, 0.03                                              ,                                         0.50,                               416.00,                                       229.00,                               0.98, -                                               ,                         100.00,                                    0.90, -                                                                               ,                                                           35.20,                                                       20.71,                                            41.41, -                                                                                    ,                                                 66.26, "12,872.00"                                         , 714.50                                                 , "4,888.55"                                                             , 40.58                                                     ,                                                                   4.57, -                                              , -                                                , -                                        , 9.67                                                                                                                                ,                                                      109.00, -                                                  , -                                                    , 3.00                                                          ,                              15.00,                             0.74,               0.00,                                                                                   31.55,                                       0.00, 0.0003000                                                     ,                                          1.04,                                                                3.35,                                                    16.70,                                                                                    14.70, 0.00                                     , -                                                                                        ,                                                                     0.06, -                                                                                                                    , -                                                     ,                                                 0.20,                                                                                   0.06, , , , , , , , , , , , ,              19.10,             5.37,           52.00,             53.31, -                , -                                  ,              42.00, -                                    , -                            , -                     , -                                      , -                        , -            , -                       , -                                 ,               45.67, -                                                            , -
    , Malaysia                ,                                                      0.50,                                                      0.60, -                                                 ,                                         2.20,                               144.00,                                       164.00,                               0.92, 140.00                                          ,                         100.00,                                    1.06, 45.20                                                                           ,                                                           54.45,                                                       14.60,                                            52.62, "7,570.65"                                                                           ,                                                 72.40, "2,900.27"                                          , 347.20                                                 , "8,682.03"                                                             , 46.17                                                     ,                                                                   4.54, 6.73                                           , 16.00                                            , 0.40                                     , 0.81                                                                                                                                ,                                                      135.00, 13.10                                              , 37.95                                                , 7.00                                                          ,                              25.00,                             1.01,               4.00,                                                                                   47.18,                                       0.29, 0.0005000                                                     ,                                          1.43,                                                                4.21,                                                    12.20,                                                                                    12.50, 1.00                                     , 253.11                                                                                   ,                                                                     0.05, 0.07                                                                                                                 , -                                                     ,                                                20.20,                                                                                   0.14, , , , , , , , , , , , ,              19.70,            19.78,           90.00,             60.52, 29.00            , -                                  ,              64.37, 0.00                                 , -                            , 4.00                  , 0.02                                   , 0.00                     , 4.00         , 3.00                    , 1.48                              ,               33.33, 1.00                                                         , 100.00
    , Mexico                  ,                                                      1.40,                                                      0.90, 0.05                                              ,                                         1.70,                                41.00,                                        93.00,                               0.80, 116.00                                          ,                          97.00,                                    0.71, 40.20                                                                           ,                                                           46.38,                                                       13.43,                                           102.86, "1,619.74"                                                                           ,                                                 84.19, "1,817.06"                                          , 68.30                                                  , "2,853.01"                                                             , 99.66                                                     ,                                                                   1.05, 0.93                                           , 15.00                                            , 0.74                                     , 2.80                                                                                                                                ,                                                      102.00, 23.70                                              , 35.94                                                , 6.00                                                          ,                              10.00,                             0.45,              19.00,                                                                                   48.16,                                       0.09, 0.0004000                                                     ,                                          0.70,                                                                4.52,                                                    11.80,                                                                                    14.28, 1.00                                     , "2,208.45"                                                                               ,                                                                     0.07, 0.08                                                                                                                 , 0.09                                                  ,                                                18.50,                                                                                   0.37, , , , , , , , , , , , ,              17.80,            12.47,           76.00,             52.10, 18.00            , -                                  ,              53.06, 0.00                                 , 0.87                         , 7.00                  , 0.01                                   , 0.00                     , 3.00         , 1.00                    , 0.87                              ,               24.33, -                                                            , 81.10
    , Morocco                 ,                                                      2.20,                                                      0.80, 0.16                                              ,                                         3.00,                               124.00,                                        56.00,                               0.78, 153.00                                          ,                          97.00,                                    0.84, -                                                                               ,                                                           35.36,                                                       13.81,                                            42.09, 652.98                                                                               ,                                                 65.66, "4,480.40"                                          , 146.60                                                 , "1,440.90"                                                             , 40.51                                                     ,                                                                   4.99, -                                              , 5.00                                             , -                                        , 0.78                                                                                                                                ,                                                       34.00, 5.00                                               , 10.07                                                , 4.00                                                          ,                               5.00,                             0.18,               8.00,                                                                                   11.87,                                       0.03, 0.0003000                                                     ,                                          0.30,                                                                3.12,                                                     4.80,                                                                                     5.96, 1.00                                     , -                                                                                        ,                                                                     0.05, 0.04                                                                                                                 , -                                                     ,                                                18.50,                                                                                   0.13, , , , , , , , , , , , ,              10.90,             7.69,           77.00,             48.12, 16.00            , -                                  ,              53.70, 0.80                                 , -                            , 3.00                  , -                                      , -                        , 0.00         , 1.00                    , -                                 ,               33.33, -                                                            , 36.90
    , Netherlands             ,                                                      0.50,                                                      0.30, 0.04                                              ,                                         0.80,                               171.00,                                       229.00,                               0.96, 128.00                                          ,                          99.00,                                    0.94, 26.30                                                                           ,                                                           75.07,                                                       27.87,                                            85.31, "7,449.40"                                                                           ,                                                 58.01, -                                                   , 98.20                                                  , "8,600.39"                                                             , 75.64                                                     ,                                                                  19.12, 4.20                                           , 110.00                                           , 2.02                                     , 2.37                                                                                                                                ,                                                      284.00, 39.60                                              , 78.87                                                , 6.00                                                          ,                              87.00,                             2.09,               7.00,                                                                                  210.58,                                       3.71, 0.0004000                                                     ,                                          2.16,                                                               29.33,                                                    22.10,                                                                                    22.01, 0.38                                     , 0.00                                                                                     ,                                                                     0.04, 0.05                                                                                                                 , 0.10                                                  ,                                                46.80,                                                                                   0.11, , , , , , , , , , , , ,              38.90,            39.17,           82.00,             69.85, 40.00            , 98.36                              ,              67.82, 2.10                                 , 0.74                         , 23.00                 , 0.09                                   , 0.04                     , 10.00        , 10.00                   , 2.21                              ,               66.67, 31.00                                                        , 21.60
    , New Zealand             ,                                                      0.70,                                                      0.30, 0.01                                              ,                                         1.00,                               127.00,                                       211.00,                               0.94, 130.00                                          ,                          99.00,                                    1.03, 31.50                                                                           ,                                                           44.66,                                                       34.51,                                            77.13, "9,021.04"                                                                           ,                                                 69.02, "5,282.32"                                          , 90.60                                                  , "5,530.67"                                                             , 72.87                                                     ,                                                                   1.90, -                                              , 50.00                                            , 0.39                                     , 0.28                                                                                                                                ,                                                      156.00, 34.60                                              , 70.98                                                , 8.00                                                          ,                              19.00,                             3.64,               1.00,                                                                                  123.60,                                       0.10, 0.0007000                                                     ,                                          2.44,                                                               13.46,                                                    19.60,                                                                                    20.50, 1.15                                     , -                                                                                        ,                                                                     0.15, 0.07                                                                                                                 , 0.41                                                  ,                                                87.60,                                                                                   0.17, , , , , , , , , , , , ,              40.50,            12.18,           76.00,             57.24, 23.00            , -                                  ,              63.88, 0.00                                 , 0.42                         , 10.00                 , 0.00                                   , 0.00                     , 4.00         , 4.00                    , 0.47                              ,               59.67, -                                                            , 18.90
    , Nigeria                 ,                                                      3.40,                                                      2.70, -                                                 ,                                        15.50,                                44.00,                                        33.00,                               0.39, 71.00                                           ,                          85.00,                                    0.36, 60.70                                                                           ,                                                           65.65,                                                       12.96,                                            33.97, 866.67                                                                               ,                                                 41.70, 269.79                                              , 92.90                                                  , "9,346.22"                                                             , 29.35                                                     ,                                                                   0.53, 0.14                                           , 5.00                                             , 1.19                                     , 1.24                                                                                                                                ,                                                       85.00, 15.50                                              , 72.26                                                , 36.00                                                         ,                              32.00,                             1.06,              69.00,                                                                                   12.72,                                       0.06, 0.0000000                                                     ,                                          0.10,                                                                1.85,                                                     2.30,                                                                                     5.41, 0.62                                     , 60.17                                                                                    ,                                                                     0.05, -                                                                                                                    , -                                                     ,                                                26.10,                                                                                   0.12, , , , , , , , , , , , ,               9.30,             9.27,           56.00,             39.10, 5.00             , -                                  ,              44.23, 0.00                                 , -                            , 1.00                  , -                                      , -                        , 1.00         , 1.00                    , -                                 ,               66.67, -                                                            , 81.10
G20 , Norway                  ,                                                      0.50,                                                      0.50, 0.02                                              ,                                         1.20,                               163.00,                                       170.00,                               0.99, -                                               ,                          98.00,                                    1.03, 32.20                                                                           ,                                                           67.29,                                                       54.56,                                            94.58, "15,254.68"                                                                          ,                                                 70.93, -                                                   , 164.30                                                 , "13,305.45"                                                            , 83.48                                                     ,                                                                   4.91, 4.19                                           , 43.00                                            , 1.14                                     , 2.60                                                                                                                                ,                                                      443.00, 50.60                                              , 93.78                                                , 18.00                                                         ,                              42.00,                             2.47,               1.00,                                                                                  119.45,                                       0.20, 0.0001000                                                     ,                                          3.27,                                                               14.00,                                                    26.80,                                                                                    26.37, 0.02                                     , 0.00                                                                                     ,                                                                     0.04, 0.06                                                                                                                 , 0.46                                                  ,                                                97.70,                                                                                   0.02, , , , , , , , , , , , ,              46.40,            18.92,           89.00,             65.67, 25.00            , 23.36                              ,              70.87, 1.10                                 , 0.49                         , 14.00                 , 0.04                                   , 0.02                     , 11.00        , 7.00                    , 0.81                              ,               66.67, -                                                            , 10.80
G20 , Pakistan                ,                                                      2.10,                                                      1.40, -                                                 ,                                         4.00,                                24.00,                                        18.00,                               0.46, 77.00                                           ,                          81.00,                                    0.34, -                                                                               ,                                                           61.97,                                                       15.81,                                            15.30, 390.17                                                                               ,                                                 68.38, "3,665.90"                                          , 99.40                                                  , "1,789.74"                                                             , 14.54                                                     ,                                                                   1.56, 0.58                                           , 92.00                                            , -                                        , 0.21                                                                                                                                ,                                                       26.00, 3.20                                               , 24.02                                                , 15.00                                                         ,                               1.00,                             0.16,              28.00,                                                                                    6.30,                                       0.06, 0.0002000                                                     ,                                          0.17,                                                                1.82,                                                     2.40,                                                                                     4.78, 0.25                                     , 3.98                                                                                     ,                                                                     0.05, -                                                                                                                    , -                                                     ,                                                35.00,                                                                                   0.25, , , , , , , , , , , , ,              10.30,             9.99,           42.00,             41.23, 8.00             , -                                  ,              48.02, 0.00                                 , -                            , 4.00                  , -                                      , -                        , 1.00         , 1.00                    , -                                 ,               66.67, -                                                            , 81.10
    , Peru                    ,                                                      1.10,                                                      1.10, 0.13                                              ,                                         2.80,                                36.00,                                       252.00,                               0.80, 124.00                                          ,                          93.00,                                    0.76, -                                                                               ,                                                           26.65,                                                       16.43,                                            71.92, "1,294.19"                                                                           ,                                                 77.76, "6,970.65"                                          , 223.80                                                 , -                                                                      , -                                                         ,                                                                   0.43, 0.71                                           , 3.00                                             , -                                        , 3.16                                                                                                                                ,                                                       67.00, 5.50                                               , 27.47                                                , 7.00                                                          ,                               2.00,                             0.26,               6.00,                                                                                   12.15,                                       0.04, 0.0008000                                                     ,                                          0.88,                                                                4.66,                                                     6.50,                                                                                     8.07, 0.00                                     , -                                                                                        ,                                                                     0.04, 0.06                                                                                                                 , -                                                     ,                                                53.30,                                                                                   0.21, , , , , , , , , , , , ,              14.70,             8.12,           63.00,             45.52, 18.00            , -                                  ,              47.35, 0.00                                 , -                            , 4.00                  , -                                      , -                        , 1.00         , 0.00                    , -                                 ,               66.67, -                                                            , 64.90
    , Philippines             ,                                                      2.40,                                                      1.60, 0.26                                              ,                                         4.20,                                54.00,                                       103.00,                               0.69, 116.00                                          ,                          99.00,                                    0.85, 41.50                                                                           ,                                                           43.04,                                                       14.89,                                            28.53, "2,427.33"                                                                           ,                                                 78.33, -                                                   , 127.30                                                 , "4,992.78"                                                             , 27.98                                                     ,                                                                   5.28, 1.02                                           , 30.00                                            , 0.22                                     , 1.87                                                                                                                                ,                                                       64.00, 9.00                                               , 21.58                                                , 6.00                                                          ,                               3.00,                             0.31,              28.00,                                                                                    9.65,                                       0.02, 0.0003000                                                     ,                                          0.30,                                                                4.11,                                                     4.70,                                                                                     6.72, 0.49                                     , -                                                                                        ,                                                                     0.10, 0.12                                                                                                                 , -                                                     ,                                                21.60,                                                                                   1.26, , , , , , , , , , , , ,              18.30,            10.39,           74.00,             49.50, 16.00            , -                                  ,              58.79, 0.00                                 , -                            , 1.00                  , -                                      , -                        , 1.00         , 0.00                    , -                                 ,               66.67, -                                                            , 65.80
    , Poland                  ,                                                      0.40,                                                      0.40, 0.04                                              ,                                         0.80,                               105.00,                                       214.00,                               0.85, 138.00                                          ,                         100.00,                                    0.86, 27.80                                                                           ,                                                           50.21,                                                       20.82,                                            56.95, "4,915.41"                                                                           ,                                                 49.91, "6,428.16"                                          , 112.40                                                 , "10,073.29"                                                            , 42.47                                                     ,                                                                   6.47, 3.72                                           , 47.00                                            , -                                        , 0.81                                                                                                                                ,                                                      189.00, 16.70                                              , 38.33                                                , 6.00                                                          ,                              21.00,                             1.71,              10.00,                                                                                   55.54,                                       1.77, 0.0001000                                                     ,                                          0.89,                                                               11.25,                                                    13.50,                                                                                    15.83, 1.00                                     , 648.69                                                                                   ,                                                                     0.04, 0.06                                                                                                                 , 0.08                                                  ,                                                27.40,                                                                                   0.13, , , , , , , , , , , , ,              28.50,            33.27,           89.00,             64.79, 23.00            , 65.75                              ,              56.14, 0.80                                 , 0.71                         , 11.00                 , 0.00                                   , 0.01                     , 4.00         , 3.00                    , 1.55                              ,               95.67, 2.00                                                         , 37.80
    , Portugal                ,                                                      0.40,                                                      0.40, 0.03                                              ,                                         0.70,                               151.00,                                       241.00,                               0.87, 124.00                                          ,                         100.00,                                    0.88, 33.80                                                                           ,                                                           47.19,                                                       41.70,                                            52.67, "5,036.92"                                                                           ,                                                 58.16, "3,578.22"                                          , 142.20                                                 , "4,818.87"                                                             , 50.04                                                     ,                                                                   6.05, 4.10                                           , 25.00                                            , 0.42                                     , 0.99                                                                                                                                ,                                                      145.00, 18.10                                              , 53.45                                                , 11.00                                                         ,                              25.00,                             1.30,               4.00,                                                                                   32.46,                                       0.35, 0.0008000                                                     ,                                          2.74,                                                               18.03,                                                    17.80,                                                                                    20.08, 3.56                                     , 0.00                                                                                     ,                                                                     0.08, 0.09                                                                                                                 , 0.25                                                  ,                                                70.00,                                                                                   0.05, , , , , , , , , , , , ,              24.20,            11.67,           83.00,             55.38, 22.00            , 3.96                               ,              60.32, 0.00                                 , 0.66                         , 10.00                 , 0.02                                   , 0.01                     , 7.00         , 4.00                    , 0.72                              ,               66.67, 1.00                                                         , 44.10
